scope,operator_or_method,route_class,nvidia_execution_path,source_file,in_full_config,int8_related_hint,note
aten,argmax,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,argmin,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,atan,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,atan_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,avg_pool2d,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,avg_pool2d_backward,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,baddbmm,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,true,Registered by flag_gems.enable(...)
aten,bitwise_and.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_and.Scalar_Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_and.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_and_.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_and_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_left_shift,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_not,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_not_,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_or.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_or.Scalar_Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_or.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_or_.Scalar,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_or_.Tensor,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bitwise_right_shift,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,false,Registered by flag_gems.enable(...)
aten,bmm,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,true,Registered by flag_gems.enable(...)
aten,bmm.out,aten_python_register,aten -> FlagGems Python register (Triton/backend-specific implementation),src/flag_gems/__init__.py + src/flag_gems/runtime/register.py,true,true,Registered by flag_gems.enable(...)
